,period_end,dni
0,2023-04-16T03:00:00Z,0
1,2023-04-16T02:30:00Z,5
2,2023-04-16T02:00:00Z,0
3,2023-04-16T01:30:00Z,0
4,2023-04-16T01:00:00Z,5
5,2023-04-16T00:30:00Z,0
6,2023-04-16,0
7,2023-04-15T23:30:00Z,0
8,2023-04-15T23:00:00Z,0
9,2023-04-15T22:30:00Z,0
10,2023-04-15T22:00:00Z,0
11,2023-04-15T21:30:00Z,0
12,2023-04-15T21:00:00Z,9
13,2023-04-15T20:30:00Z,0
14,2023-04-15T20:00:00Z,0
15,2023-04-15T19:30:00Z,0
16,2023-04-15T19:00:00Z,0
17,2023-04-15T18:30:00Z,0
18,2023-04-15T18:00:00Z,0
19,2023-04-15T17:30:00Z,0
20,2023-04-15T17:00:00Z,0
21,2023-04-15T16:30:00Z,0
22,2023-04-15T16:00:00Z,0
23,2023-04-15T15:30:00Z,0
24,2023-04-15T15:00:00Z,0
25,2023-04-15T14:30:00Z,0
26,2023-04-15T14:00:00Z,0
27,2023-04-15T13:30:00Z,0
28,2023-04-15T13:00:00Z,0
29,2023-04-15T12:30:00Z,0
30,2023-04-15T12:00:00Z,0
31,2023-04-15T11:30:00Z,0
32,2023-04-15T11:00:00Z,0
33,2023-04-15T10:30:00Z,0
34,2023-04-15T10:00:00Z,0
35,2023-04-15T09:30:00Z,0
36,2023-04-15T09:00:00Z,0
37,2023-04-15T08:30:00Z,0
38,2023-04-15T08:00:00Z,0
39,2023-04-15T07:30:00Z,19
40,2023-04-15T07:00:00Z,444
41,2023-04-15T06:30:00Z,596
42,2023-04-15T06:00:00Z,745
43,2023-04-15T05:30:00Z,804
44,2023-04-15T05:00:00Z,457
45,2023-04-15T04:30:00Z,807
46,2023-04-15T04:00:00Z,908
47,2023-04-15T03:30:00Z,926
48,2023-04-15T03:00:00Z,938
49,2023-04-15T02:30:00Z,943
50,2023-04-15T02:00:00Z,945
51,2023-04-15T01:30:00Z,943
52,2023-04-15T01:00:00Z,932
53,2023-04-15T00:30:00Z,910
54,2023-04-15,886
55,2023-04-14T23:30:00Z,858
56,2023-04-14T23:00:00Z,817
57,2023-04-14T22:30:00Z,759
58,2023-04-14T22:00:00Z,675
59,2023-04-14T21:30:00Z,545
60,2023-04-14T21:00:00Z,282
61,2023-04-14T20:30:00Z,2
62,2023-04-14T20:00:00Z,0
63,2023-04-14T19:30:00Z,0
64,2023-04-14T19:00:00Z,0
65,2023-04-14T18:30:00Z,0
66,2023-04-14T18:00:00Z,0
67,2023-04-14T17:30:00Z,0
68,2023-04-14T17:00:00Z,0
69,2023-04-14T16:30:00Z,0
70,2023-04-14T16:00:00Z,0
